program,searcher,CovI,States,Queries,SolverTime_us,WallTime_s,CompletedPaths,NumBranches
train_01961,nurs_md2u,1032,2,6964,46684,85510.0,0,118
train_01961,nurs_qc,1032,2,6964,46246,83907.0,0,118
train_01961,random-path,1032,2,6964,46638,84304.0,0,118
train_02009,bfs,944,1,6886,12085,47004.0,0,138
train_02009,dfs,944,1,6886,13652,48510.0,0,138
train_02009,nurs_covnew,944,1,6886,12056,48885.0,0,138
train_02009,nurs_md2u,944,1,6886,11191,47675.0,0,138
train_02009,nurs_qc,944,1,6886,12416,48764.0,0,138
train_02009,random-path,944,1,6886,12233,46941.0,0,138
train_02047,bfs,944,1,6886,12584,46627.0,0,122
train_02047,dfs,944,1,6886,14701,48532.0,0,122
train_02047,nurs_covnew,944,1,6886,12546,48691.0,0,122
train_02047,nurs_md2u,944,1,6886,12413,47969.0,0,122
train_02047,nurs_qc,944,1,6886,12544,48069.0,0,122
train_02047,random-path,944,1,6886,13575,47990.0,0,122
train_02064,bfs,952,1,6886,12074,46789.0,0,129
train_02064,dfs,952,1,6886,12904,47019.0,0,129
train_02064,nurs_covnew,952,1,6886,12438,48511.0,0,129
train_02064,nurs_md2u,952,1,6886,12971,49082.0,0,129
train_02064,nurs_qc,952,1,6886,11099,47032.0,0,129
train_02064,random-path,952,1,6886,14214,48547.0,0,129
train_02105,bfs,935,1,6886,19018,54818.0,0,115
train_02105,dfs,935,1,6886,16921,52594.0,0,115
train_02105,nurs_covnew,935,1,6886,17459,54131.0,0,115
train_02105,nurs_md2u,935,1,6886,19586,57007.0,0,115
train_02105,nurs_qc,935,1,6886,17412,54590.0,0,115
