program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp21_interleaved_hot_cold,default,1170588,231,93,20,0,0,106626,0,106626,2524344,553629,33472992.0,8772139
exp22_state_pressure,dfs,1867763,149,2,8,1,13080,25,52320,65425,1275432,758968,10005859.0,3901565
exp22_state_pressure,bfs,2681518,139,12,6,2,0,143373,0,143373,3405040,1163624,40706026.0,10934668
exp22_state_pressure,random-path,2087907,139,12,6,2,0,93357,0,93357,2392320,870574,30123446.0,7501060
exp22_state_pressure,nurs:qc,1819770,139,12,6,2,0,73293,0,73293,2435024,768861,26457421.0,6872128
exp22_state_pressure,nurs:covnew,1813689,139,12,6,2,0,73064,0,73064,2435024,766257,26501166.0,6869557
exp22_state_pressure,nurs:md2u,1821154,139,12,6,2,0,73351,0,73351,2435720,769452,26422601.0,6942226
exp22_state_pressure,default,1876175,139,12,6,2,0,81213,0,81213,2380744,783467,27036793.0,6573317
exp23_covnew_vs_md2u,dfs,1488376,163,4,9,1,54663,14,0,54677,1253848,827058,10004204.0,4815000
exp23_covnew_vs_md2u,bfs,1840905,157,10,8,1,3,160405,0,160408,3351632,937362,46414797.0,12770007
exp23_covnew_vs_md2u,random-path,1802627,157,10,8,1,3,120882,0,120885,2336816,911956,37478348.0,10245411
exp23_covnew_vs_md2u,nurs:qc,1649776,163,4,9,1,321,104980,0,105301,2341576,826008,34591615.0,9291085
exp23_covnew_vs_md2u,nurs:covnew,1648545,163,4,9,1,321,104902,0,105223,2341576,825390,34232526.0,9246999
exp23_covnew_vs_md2u,nurs:md2u,1655477,163,4,9,1,327,105358,0,105685,2341576,828817,34503821.0,9266991
exp23_covnew_vs_md2u,default,1636102,157,10,8,1,3,104159,0,104162,2333856,821984,33604580.0,8849785
exp24_interleaved_default,dfs,1088845,147,22,11,0,43270,25,0,43295,1238064,522792,10006235.0,5252581
exp24_interleaved_default,bfs,1705913,123,46,8,1,0,170359,0,170359,3342096,872600,46449152.0,12486187
exp24_interleaved_default,random-path,1635894,129,40,8,1,0,125152,0,125152,2332272,818073,37167138.0,9857278
exp24_interleaved_default,nurs:qc,1542742,146,23,9,1,0,99839,0,99839,2335176,766457,31871167.0,8240715
exp24_interleaved_default,nurs:covnew,1546853,146,23,9,1,0,100073,0,100073,2336592,768456,31639481.0,8251074
exp24_interleaved_default,nurs:md2u,1541014,146,23,9,1,0,99753,0,99753,2335176,765634,31724669.0,8212586
exp24_interleaved_default,default,1526433,134,35,8,1,0,112517,0,112517,2323616,757049,34146918.0,8792546
exp25_solver_timeout,dfs,15090,122,0,8,0,514,0,0,514,1182536,8380,227325.0,179475
exp25_solver_timeout,bfs,15090,122,0,8,0,514,0,0,514,1182536,8380,222521.0,174857
exp25_solver_timeout,random-path,15090,122,0,8,0,514,0,0,514,1185384,8380,219119.0,168711
exp25_solver_timeout,nurs:qc,15090,122,0,8,0,514,0,0,514,1185328,8380,224758.0,171688
exp25_solver_timeout,nurs:covnew,15090,122,0,8,0,514,0,0,514,1185328,8380,226345.0,172877
exp25_solver_timeout,nurs:md2u,15090,122,0,8,0,514,0,0,514,1185328,8380,223706.0,170592
exp25_solver_timeout,default,15090,122,0,8,0,514,0,0,514,1184776,8380,224407.0,170857
exp26_heavy_hash,dfs,16770,122,0,8,0,514,0,0,514,1256520,9290,3571744.0,2992809
exp26_heavy_hash,bfs,16770,122,0,8,0,514,0,0,514,1256520,9290,3574614.0,2996005
exp26_heavy_hash,random-path,16770,122,0,8,0,514,0,0,514,1258952,9290,3572579.0,2989073
exp26_heavy_hash,nurs:qc,16770,122,0,8,0,514,0,0,514,1259312,9290,3575307.0,2991337
exp26_heavy_hash,nurs:covnew,16770,122,0,8,0,514,0,0,514,1259312,9290,3577285.0,2989321
