program,searcher,CovI,States,Queries,SolverTime_us,WallTime_s,CompletedPaths,NumBranches
train_00550,default,1572,404,1644682,4382078,10830570.0,0,159
train_00550,dfs,1572,119,6600321,644833,10030990.0,0,159
train_00550,nurs_covnew,1529,455,1044882,5397771,11110686.0,0,159
train_00550,nurs_md2u,1529,452,1032104,5243696,11146326.0,0,159
train_00550,nurs_qc,1529,392,1493670,4087095,10921505.0,0,159
train_00550,random-path,1572,96,4752068,447517,10043892.0,0,159
train_00598,bfs,1042,875,19371,10887611,11395826.0,0,119
train_00598,default,1042,937,22104,9789756,10523434.0,0,119
train_00598,dfs,1038,162,9134,10139240,10473773.0,0,119
train_00598,nurs_covnew,1042,1626,31969,9754939,10876767.0,0,119
train_00598,nurs_md2u,1042,1555,30874,9775759,10781827.0,0,119
train_00598,nurs_qc,1042,1648,31808,9825282,10987832.0,0,119
train_00598,random-path,1042,991,23674,9879905,10571565.0,0,119
train_00610,bfs,1057,1,18031,3,48046.0,0,129
train_00610,default,1057,1,18031,2,50809.0,0,129
train_00610,dfs,1057,1,18031,1,47505.0,0,129
train_00610,nurs_covnew,1057,1,18031,1,49023.0,0,129
train_00610,nurs_md2u,1057,1,18031,2,56066.0,0,129
train_00610,nurs_qc,1057,1,18031,2,48858.0,0,129
train_00610,random-path,1057,1,18031,2,48571.0,0,129
train_00611,bfs,1045,127,154282,8887079,14487491.0,0,128
train_00611,default,1045,159,106069,8846874,14559018.0,0,128
train_00611,dfs,1045,126,152491,8968634,14598604.0,0,128
train_00611,nurs_covnew,1045,129,57638,8711842,14374777.0,0,128
train_00611,nurs_md2u,1045,150,73822,9039987,14682337.0,0,128
train_00611,nurs_qc,1045,125,122598,9005249,14599107.0,0,128
train_00611,random-path,1045,140,172217,8773198,14529601.0,0,128
train_00624,bfs,1001,15,7636,10779281,10827522.0,0,118
train_00624,default,1001,15,7598,10693026,10745337.0,0,118
train_00624,dfs,997,18,7137,10561306,10609332.0,0,118
train_00624,nurs_covnew,1001,15,7584,10742195,10793154.0,0,118
train_00624,nurs_md2u,1001,15,7584,10741639,10794682.0,0,118
train_00624,nurs_qc,1001,15,7535,10638193,10691403.0,0,118
train_00624,random-path,1001,15,7622,10801642,10851494.0,0,118
train_00702,bfs,949,2,6919,7418,47352.0,0,117
train_00702,default,949,2,6919,6693,48462.0,0,117
train_00702,dfs,949,2,6919,6946,47809.0,0,117
train_00702,nurs_covnew,949,2,6919,8175,49500.0,0,117
train_00702,nurs_md2u,949,2,6919,6314,47646.0,0,117
train_00702,nurs_qc,949,2,6919,7366,47977.0,0,117
train_00702,random-path,949,2,6919,5038,45353.0,0,117
train_00703,bfs,976,1,6951,2,37281.0,0,122
train_00703,default,976,1,6951,2,38824.0,0,122
train_00703,dfs,976,1,6951,2,36320.0,0,122
train_00703,nurs_covnew,976,1,6951,3,38226.0,0,122
train_00703,nurs_md2u,976,1,6951,3,38638.0,0,122
