program,dfs,bfs,random-path,nurs_covnew,nurs_md2u,nurs_qc,default,best_searcher,coverage_gap
train_05297,965,1024,1094,1094,1094,1077,1094,default/nurs_covnew/nurs_md2u/random-path,129
train_05398,1045,1061,1061,1061,1061,1061,1061,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,16
train_05507,963,974,974,974,974,974,974,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,11
train_05603,1134,1134,1138,1124,1120,1134,1134,random-path,18
train_05609,1196,1216,1246,1267,1267,1267,1250,nurs_covnew/nurs_md2u/nurs_qc,71
train_05706,1221,1221,1221,1217,1217,1217,1221,bfs/default/dfs/random-path,4
train_05816,933,1012,948,939,939,939,954,bfs,79
train_05923,990,1015,1015,1015,1015,1015,1015,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,25
train_05924,994,1005,1016,1016,1016,1016,1016,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,22
train_06019,1011,979,952,939,939,939,942,dfs,72
train_06028,1058,1109,1048,1015,1015,1012,1044,bfs,97
train_06029,940,991,991,991,991,991,991,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,51
train_06072,1021,1141,1141,1141,1141,1141,1141,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,120
train_06120,1236,1236,1236,1193,1193,1236,1236,bfs/default/dfs/nurs_qc/random-path,43
train_06236,1028,985,1028,1028,1028,1028,1028,default/dfs/nurs_covnew/nurs_md2u/nurs_qc/random-path,43
train_06334,1034,1034,1064,1066,1066,1065,1066,default/nurs_covnew/nurs_md2u,32
train_06442,971,1032,1045,1045,1045,1045,1045,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,74
train_06445,968,988,1014,1014,1014,1014,1014,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,46
train_06457,946,950,954,954,954,954,954,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,8
train_06544,1023,1051,1051,1051,1051,1051,1051,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,28
train_06639,1009,947,965,961,975,961,955,dfs,62
train_06640,984,994,994,994,994,994,994,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,10
train_06762,1020,1031,1031,999,999,1009,1002,bfs/random-path,32
train_06856,988,999,999,999,999,999,999,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,11
train_06962,949,992,992,992,992,992,992,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,43
train_06969,1000,1027,1027,1027,1027,1027,1027,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,27
train_07008,989,1041,1041,1041,1041,1041,1041,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,52
